Files already downloaded
3000
750
Shapes: (3000, 28, 28) (3000,) (10000, 28, 28) (10000,)
Epoch 171, cost = 1.637669, acc = 81.23%
Epoch 172, cost = 1.637309, acc = 81.33%
Epoch 173, cost = 1.638547, acc = 81.60%
Epoch 174, cost = 1.637775, acc = 81.48%
Epoch 175, cost = 1.634217, acc = 81.23%
Epoch 176, cost = 1.635262, acc = 81.63%
Epoch 177, cost = 1.633807, acc = 81.59%
Epoch 178, cost = 1.637055, acc = 81.49%
Epoch 179, cost = 1.631512, acc = 81.83%
Epoch 180, cost = 1.635217, acc = 81.41%
Epoch 181, cost = 1.632597, acc = 81.57%
Epoch 182, cost = 1.629725, acc = 81.44%
Epoch 183, cost = 1.636317, acc = 81.55%
Epoch 184, cost = 1.633218, acc = 81.63%
Epoch 185, cost = 1.627050, acc = 81.74%
Epoch 186, cost = 1.638786, acc = 81.57%
Epoch 187, cost = 1.627902, acc = 81.57%
Epoch 188, cost = 1.628040, acc = 81.99%
Epoch 189, cost = 1.632066, acc = 81.37%
Epoch 190, cost = 1.635333, acc = 81.57%
Epoch 191, cost = 1.627257, acc = 81.96%
Epoch 192, cost = 1.633627, acc = 81.79%
Epoch 193, cost = 1.638681, acc = 81.92%
Epoch 194, cost = 1.631716, acc = 81.99%
Epoch 195, cost = 1.626914, acc = 81.80%
Epoch 196, cost = 1.631414, acc = 81.93%
Epoch 197, cost = 1.629260, acc = 81.79%
Epoch 198, cost = 1.630398, acc = 81.85%
Epoch 199, cost = 1.631103, acc = 82.24%
Epoch 200, cost = 1.630259, acc = 81.85%
Epoch 201, cost = 1.628530, acc = 82.33%
Epoch 202, cost = 1.632275, acc = 82.07%
Epoch 203, cost = 1.631876, acc = 82.09%
Epoch 204, cost = 1.625859, acc = 82.23%
Epoch 205, cost = 1.633161, acc = 82.43%
Epoch 206, cost = 1.627738, acc = 82.59%
Epoch 207, cost = 1.627252, acc = 82.23%
Epoch 208, cost = 1.628304, acc = 82.38%
Epoch 209, cost = 1.628358, acc = 82.29%
Epoch 210, cost = 1.622704, acc = 82.14%
Epoch 211, cost = 1.623650, acc = 81.94%
Epoch 212, cost = 1.627374, acc = 82.13%
Epoch 213, cost = 1.620962, acc = 82.15%
Epoch 214, cost = 1.624033, acc = 82.11%
Epoch 215, cost = 1.624329, acc = 82.14%
Epoch 216, cost = 1.621062, acc = 82.26%
Epoch 217, cost = 1.627787, acc = 81.89%
Epoch 218, cost = 1.629972, acc = 82.35%
Epoch 219, cost = 1.626417, acc = 82.66%
Epoch 220, cost = 1.622999, acc = 82.35%
Epoch 221, cost = 1.622524, acc = 81.98%
Epoch 222, cost = 1.627270, acc = 82.47%
Epoch 223, cost = 1.619488, acc = 82.21%
Epoch 224, cost = 1.628095, acc = 82.06%
Epoch 225, cost = 1.628334, acc = 82.05%
Epoch 226, cost = 1.625950, acc = 82.14%
Epoch 227, cost = 1.622877, acc = 82.14%
Epoch 228, cost = 1.621092, acc = 82.54%
Epoch 229, cost = 1.621325, acc = 82.46%
Epoch 230, cost = 1.624222, acc = 82.41%
Epoch 231, cost = 1.622417, acc = 82.19%
Epoch 232, cost = 1.616470, acc = 82.47%
Epoch 233, cost = 1.622621, acc = 81.96%
Epoch 234, cost = 1.623883, acc = 82.45%
Epoch 235, cost = 1.627707, acc = 82.92%
Epoch 236, cost = 1.621382, acc = 82.95%
Epoch 237, cost = 1.619380, acc = 82.77%
Epoch 238, cost = 1.612784, acc = 83.13%
Epoch 239, cost = 1.620552, acc = 83.44%
Epoch 240, cost = 1.610796, acc = 83.67%
Epoch 241, cost = 1.611064, acc = 83.96%
Epoch 242, cost = 1.603512, acc = 83.95%
Epoch 243, cost = 1.604812, acc = 84.50%
Epoch 244, cost = 1.602122, acc = 85.17%
Epoch 245, cost = 1.601935, acc = 84.88%
Epoch 246, cost = 1.592503, acc = 85.13%
Epoch 247, cost = 1.596744, acc = 85.01%
Epoch 248, cost = 1.598690, acc = 85.56%
Epoch 249, cost = 1.594558, acc = 85.03%
Epoch 250, cost = 1.591864, acc = 85.13%
Epoch 251, cost = 1.591035, acc = 85.49%
Epoch 252, cost = 1.586848, acc = 85.44%
Epoch 253, cost = 1.594892, acc = 85.98%
Epoch 254, cost = 1.585416, acc = 85.34%
Epoch 255, cost = 1.586784, acc = 86.20%
Epoch 256, cost = 1.582145, acc = 86.16%
Epoch 257, cost = 1.579458, acc = 86.35%
Epoch 258, cost = 1.585093, acc = 86.48%
Epoch 259, cost = 1.579355, acc = 86.97%
Epoch 260, cost = 1.576593, acc = 86.99%
Epoch 261, cost = 1.575542, acc = 87.13%
Epoch 262, cost = 1.574335, acc = 87.42%
Epoch 263, cost = 1.574265, acc = 87.33%
Epoch 264, cost = 1.575809, acc = 87.60%
Epoch 265, cost = 1.574138, acc = 87.44%
Epoch 266, cost = 1.566479, acc = 87.84%
Epoch 267, cost = 1.569521, acc = 87.50%
Epoch 268, cost = 1.565221, acc = 87.45%
Epoch 269, cost = 1.569753, acc = 87.63%
Epoch 270, cost = 1.565151, acc = 87.53%
Epoch 271, cost = 1.569315, acc = 87.94%
Epoch 272, cost = 1.566241, acc = 87.66%
Epoch 273, cost = 1.570900, acc = 88.09%
Epoch 274, cost = 1.569565, acc = 88.18%
Epoch 275, cost = 1.563854, acc = 88.33%
Epoch 276, cost = 1.565379, acc = 87.52%
Epoch 277, cost = 1.561755, acc = 88.05%
Epoch 278, cost = 1.564018, acc = 88.37%
Epoch 279, cost = 1.560891, acc = 89.02%
Epoch 280, cost = 1.565552, acc = 88.57%
Epoch 281, cost = 1.553517, acc = 89.28%
Epoch 282, cost = 1.563495, acc = 88.54%
Epoch 283, cost = 1.558794, acc = 89.46%
Epoch 284, cost = 1.556829, acc = 88.93%
Epoch 285, cost = 1.558064, acc = 88.75%
Epoch 286, cost = 1.559744, acc = 89.23%
Epoch 287, cost = 1.561369, acc = 89.78%
Epoch 288, cost = 1.554291, acc = 89.21%
Epoch 289, cost = 1.556833, acc = 89.54%
Epoch 290, cost = 1.547205, acc = 89.31%
Epoch 291, cost = 1.558540, acc = 89.83%
Epoch 292, cost = 1.551906, acc = 89.86%
Epoch 293, cost = 1.547424, acc = 89.60%
Epoch 294, cost = 1.548198, acc = 89.13%
Epoch 295, cost = 1.550455, acc = 90.08%
Epoch 296, cost = 1.547085, acc = 89.89%
Epoch 297, cost = 1.549106, acc = 89.60%
Epoch 298, cost = 1.542415, acc = 90.11%
Epoch 299, cost = 1.544342, acc = 89.71%
Epoch 300, cost = 1.547182, acc = 89.64%
Epoch 301, cost = 1.544963, acc = 89.79%
Epoch 302, cost = 1.548448, acc = 90.12%
Epoch 303, cost = 1.542087, acc = 90.19%
Epoch 304, cost = 1.549947, acc = 89.89%
Epoch 305, cost = 1.550643, acc = 90.09%
Epoch 306, cost = 1.547336, acc = 90.20%
Epoch 307, cost = 1.539877, acc = 90.29%
Epoch 308, cost = 1.544447, acc = 90.47%
Epoch 309, cost = 1.538518, acc = 89.99%
Epoch 310, cost = 1.542794, acc = 90.17%
Epoch 311, cost = 1.538191, acc = 90.24%
Epoch 312, cost = 1.540212, acc = 90.19%
Epoch 313, cost = 1.539640, acc = 90.41%
Epoch 314, cost = 1.541790, acc = 90.62%
Epoch 315, cost = 1.543061, acc = 90.69%
Epoch 316, cost = 1.535923, acc = 90.56%
Epoch 317, cost = 1.541324, acc = 90.46%
Epoch 318, cost = 1.537990, acc = 90.60%
Epoch 319, cost = 1.537328, acc = 90.35%
Epoch 320, cost = 1.543996, acc = 90.31%
Epoch 321, cost = 1.539538, acc = 90.43%
Epoch 322, cost = 1.540015, acc = 90.82%
Epoch 323, cost = 1.534340, acc = 90.46%
Epoch 324, cost = 1.539590, acc = 90.28%
Epoch 325, cost = 1.538578, acc = 90.67%
Epoch 326, cost = 1.536036, acc = 90.30%
Epoch 327, cost = 1.544263, acc = 90.87%
